member_full,office_locations,state,name,last_name,first_name,party,district_office_line_1,district_office_line_2,district_office_line_3,district_phone,capitol_office_line_1,capitol_city,capitol_state,capitol_zip,capitol_phone,email,website,senate_class,bioguide_id,photo,office_location_ids
"OH Sherrod Brown, D",,OH,Sherrod Brown,Brown,Sherrod,D,801 West Superior Ave.,Suite 1400,"Cleveland, OH 44113",(216) 522-7272,713 Hart Senate Office Building,Washington,DC,20510,(202) 224-2315,http://www.brown.senate.gov/contact/,http://www.brown.senate.gov/,Class I,B000944,OH_Brown.jpeg (https://dl.airtable.com/qxvAJFGSGyGJ6Cb5AbZA_OH_Brown.jpeg),
"OH Rob Portman, R",,OH,Rob Portman,Portman,Rob,R,37 West Broad Street,Room 300,"Columbus, OH 43215",(614) 469-6774,448 Russell Senate Office Building,Washington,DC,20510,(202) 224-3353,https://www.portman.senate.gov/public/index.cfm/contact?p=contact-form,http://www.portman.senate.gov,Class III,P000449,OH_Portman.jpg (https://dl.airtable.com/CDtSxPaRSEqBCYzUBJRH_OH_Portman.jpg),
"OK James M. Inhofe, R",,OK,James M. Inhofe,Inhofe,James M.,R,1924 S. Utica Avenue,Suite 530,"Tulsa, OK 74104-6511",(918) 748-5111,205 Russell Senate Office Building,Washington,DC,20510,(202) 224-4721,https://www.inhofe.senate.gov/contact,http://www.inhofe.senate.gov/,Class II,I000024,OK_Inhofe.jpeg (https://dl.airtable.com/hV4h0NrNTGmHdFx9J5nh_OK_Inhofe.jpeg),
"OK James Lankford, R",,OK,James Lankford,Lankford,James,R,1015 North Broadway Avenue,Suite 310,"Oklahoma City, OK 73102",(405) 231-4941,316 Hart Senate Office Building,Washington,DC,20510,(202) 224-5754,http://www.lankford.senate.gov/contact/email,http://www.lankford.senate.gov,Class III,L000575,OK_Lankford.jpg (https://dl.airtable.com/88R7KGqRWqixUEzPsi16_OK_Lankford.jpg),
"OR Jeff Merkley, D",,OR,Jeff Merkley,Merkley,Jeff,D,121 SW Salmon Street,Ste. 1400,"Portland, OR 97204",(503) 326-3386,313 Hart Senate Office Building,Washington,DC,20510,(202) 224-3753,http://www.merkley.senate.gov/contact/,http://www.merkley.senate.gov,Class II,M001176,OR_Merkley.jpg (https://dl.airtable.com/1LEs3uf3TqGp0EfS9aMw_OR_Merkley.jpg),
"OR Ron Wyden, D",,OR,Ron Wyden,Wyden,Ron,D,911 NE 11th Ave.,Suite 630,"Portland, OR, 97232",(503) 326-7525,221 Dirksen Senate Office Building,Washington,DC,20510,(202) 224-5244,https://www.wyden.senate.gov/contact/,http://www.wyden.senate.gov/,Class III,W000779,OR_Wyden.jpg (https://dl.airtable.com/8ITzPdMSQze5rtTnGX4a_OR_Wyden.jpg),
"PA Robert P., Jr. Casey, D",,PA,"Robert P., Jr. Casey",Casey,"Robert P., Jr.",D,2000 Market Street,Suite 610,"Philadelphia, PA 19103",(215) 405-9660,393 Russell Senate Office Building,Washington,DC,20510,(202) 224-6324,https://www.casey.senate.gov/contact/,http://www.casey.senate.gov/,Class I,C001070,PA_Casey.jpg (https://dl.airtable.com/ngZrW2lsQaOZ5XBfIadE_PA_Casey.jpg),
"PA Patrick J. Toomey, R",,PA,Patrick J. Toomey,Toomey,Patrick J.,R,"United States Federal Building, 17 South Park Row",Suite B-120,"Erie, PA 16501",(814) 453-3010,248 Russell Senate Office Building,Washington,DC,20510,(202) 224-4254,https://www.toomey.senate.gov/?p=contact,http://www.toomey.senate.gov/,Class III,T000461,PA_Toomey.jpg (https://dl.airtable.com/ge8FxwRo6ms2AkY4MVQX_PA_Toomey.jpg),
"RI Jack Reed, D",,RI,Jack Reed,Reed,Jack,D,1000 Chapel View Boulevard,Suite 290,"Cranston, RI 02920-5602",(401) 943-3100,728 Hart Senate Office Building,Washington,DC,20510,(202) 224-4642,https://www.reed.senate.gov/contact/,http://www.reed.senate.gov/,Class II,R000122,RI_Reed.jpg (https://dl.airtable.com/Z1xA8IA4RtuTqjRMudCS_RI_Reed.jpg),
"RI Sheldon Whitehouse, D",,RI,Sheldon Whitehouse,Whitehouse,Sheldon,D,170 Westminster St.,Ste. 200,"Providence, RI 02903",(401) 453-5294,530 Hart Senate Office Building,Washington,DC,20510,(202) 224-2921,https://www.whitehouse.senate.gov/contact/,http://www.whitehouse.senate.gov/,Class I,W000802,RI_Whitehouse.jpg (https://dl.airtable.com/7WBnSRnTQry9MBJn9Bsm_RI_Whitehouse.jpg),
"SC Lindsey Graham, R",,SC,Lindsey Graham,Graham,Lindsey,R,130 South Main Street,7th Floor,"Greenville, SC 29601",(864) 250-1417,290 Russell Senate Office Building,Washington,DC,20510,(202) 224-5972,https://www.lgraham.senate.gov/public/index.cfm/e-mail-senator-graham,http://www.lgraham.senate.gov/,Class II,G000359,SC_Graham.jpg (https://dl.airtable.com/2pKkKeEdTIiFlfMZ1du5_SC_Graham.jpg),
"SC Tim Scott, R",,SC,Tim Scott,Scott,Tim,R,1301 Gervais Street,Suite 825,"Columbia, SC 29201",(803) 771-6112,520 Hart Senate Office Building,Washington,DC,20510,(202) 224-6121,https://www.scott.senate.gov/contact/email-me,http://www.scott.senate.gov/,Class III,S001184,SC_Scott.jpg (https://dl.airtable.com/xTZ8USMrTy6NDW1MFGMX_SC_Scott.jpg),
"SD Mike Rounds, R",,SD,Mike Rounds,Rounds,Mike,R,"111 W Capitol Ave., Suite 210",P.O.Box 309,"Pierre, SD 57501",(605) 224-1450,502 Hart Senate Office Building,Washington,DC,20510,(202) 224-5842,https://www.rounds.senate.gov/contact/email-mike,http://www.rounds.senate.gov,Class II,R000605,SD_Rounds.jpg (https://dl.airtable.com/K9Sg92SFmskzmd42EwgQ_SD_Rounds.jpg),
"SD John Thune, R",,SD,John Thune,Thune,John,R,246 Founders Park Drive,Suite 102,"Rapid City, SD 57701",(605) 348-7551,511 Dirksen Senate Office Building,Washington,DC,20510,(202) 224-2321,http://www.thune.senate.gov/public/index.cfm/contact,http://www.thune.senate.gov/,Class III,T000250,SD_Thune.jpg (https://dl.airtable.com/ZjmDCTrSfqSDIcUQHECQ_SD_Thune.jpg),
"TN Lamar Alexander, R",,TN,Lamar Alexander,Alexander,Lamar,R,"Joel E. Soloman Federal Building, 900 Georgia Avenue",#260,"Chattanooga, TN 37402",(423) 752-5337,455 Dirksen Senate Office Building,Washington,DC,20510,(202) 224-4944,http://www.alexander.senate.gov/public/index.cfm?p=Email,http://www.alexander.senate.gov/,Class II,A000360,TN_Alexander.jpg (https://dl.airtable.com/rsUFthlQOW2X8FILh5pJ_TN_Alexander.jpg),
"TN Bob Corker, R",,TN,Bob Corker,Corker,Bob,R,100 Peabody Place,Suite 1125,"Memphis, TN 38103",(901) 683-1910,425 Dirksen Senate Office Building,Washington,DC,20510,(202) 224-3344,https://www.corker.senate.gov/public/index.cfm/emailme,http://www.corker.senate.gov/,Class I,C001071,TN_Corker.jpg (https://dl.airtable.com/afOcmTeQwGu9x2mEYaV7_TN_Corker.jpg),
"TX John Cornyn, R",,TX,John Cornyn,Cornyn,John,R,5300 Memorial Drive,Suite 980,"Houston, TX 77007",(713) 572-3337,517 Hart Senate Office Building,Washington,DC,20510,(202) 224-2934,https://www.cornyn.senate.gov/contact,http://www.cornyn.senate.gov/,Class II,C001056,TX_Cornyn.jpg (https://dl.airtable.com/tOtqJwpSOxYaiwCxRgaQ_TX_Cornyn.jpg),
"TX Ted Cruz, R",,TX,Ted Cruz,Cruz,Ted,R,300 E 8th,Suite 961,"Austin, TX 78701",(512) 916-5834,404 Russell Senate Office Building,Washington,DC,20510,(202) 224-5922,http://www.cruz.senate.gov/?p=email_senator,http://www.cruz.senate.gov,Class I,C001098,TX_Cruz.jpg (https://dl.airtable.com/aWEmqjGRqOK8OHngNZai_TX_Cruz.jpg),
"UT Orrin G. Hatch, R",,UT,Orrin G. Hatch,Hatch,Orrin G.,R,77 N. Main Street,Suite 112,"Cedar City, UT 84720",(435) 586-8435,104 Hart Senate Office Building,Washington,DC,20510,(202) 224-5251,http://www.hatch.senate.gov/public/index.cfm/contact?p=Email-Orrin,http://www.hatch.senate.gov/,Class I,H000338,UT_Hatch.jpg (https://dl.airtable.com/PqSwysU0RDeaT6fUkQDo_UT_Hatch.jpg),
"UT Mike Lee, R",,UT,Mike Lee,Lee,Mike,R,"James V. Hansen Federal Building, 324 25th Street",Suite 1410,"Ogden, Utah 84401",(801) 392-9633,361A Russell Senate Office Building,Washington,DC,20510,(202) 224-5444,https://www.lee.senate.gov/public/index.cfm/contact,http://www.lee.senate.gov/,Class III,L000577,UT_Lee.jpeg (https://dl.airtable.com/RXj4wfYQRtm8mpcB9yPA_UT_Lee.jpeg),
"VA Tim Kaine, D",,VA,Tim Kaine,Kaine,Tim,D,919 East Main Street,Suite 970,"Richmond, VA 23219",(804) 771-2221,231 Russell Senate Office Building,Washington,DC,20510,(202) 224-4024,https://www.kaine.senate.gov/contact,http://www.kaine.senate.gov/,Class I,K000384,VA_Kaine.jpg (https://dl.airtable.com/O5ciNnw9QxK1tqi8Dm91_VA_Kaine.jpg),
"VA Mark R. Warner, D",,VA,Mark R. Warner,Warner,Mark R.,D,180 West Main Street,"Abingdon, VA 24210",,(276) 628-8158,475 Russell Senate Office Building,Washington,DC,20510,(202) 224-2023,http://www.warner.senate.gov/public/index.cfm?p=Contact,http://www.warner.senate.gov,Class II,W000805,VA_Warner.jpg (https://dl.airtable.com/x3yms1IxQiK7Va1Jbi2r_VA_Warner.jpg),
"VT Patrick J. Leahy, D",,VT,Patrick J. Leahy,Leahy,Patrick J.,D,199 Main Street,4th Floor,"Burlington, VT 05401",(802) 863-2525,437 Russell Senate Office Building,Washington,DC,20510,(202) 224-4242,https://www.leahy.senate.gov/contact/,http://www.leahy.senate.gov/,Class III,L000174,VT_Leahy.jpg (https://dl.airtable.com/EaIBLywKQiqhWDMnP7Sc_VT_Leahy.jpg),
"VT Bernard Sanders, I",,VT,Bernard Sanders,Sanders,Bernard,I,1 Church St,3rd Floor,"Burlington, VT 05401",(802) 862-0697,332 Dirksen Senate Office Building,Washington,DC,20510,(202) 224-5141,http://www.sanders.senate.gov/contact/,http://www.sanders.senate.gov/,Class I,S000033,VT_Sanders.jpg (https://dl.airtable.com/AfJdIheTr6Hmh9EVyRLg_VT_Sanders.jpg),
"WA Maria Cantwell, D",,WA,Maria Cantwell,Cantwell,Maria,D,915 Second Avenue,Suite 3206,"Seattle, WA 98174",(206) 220-6400,511 Hart Senate Office Building,Washington,DC,20510,(202) 224-3441,http://www.cantwell.senate.gov/public/index.cfm/email-maria,http://www.cantwell.senate.gov,Class I,C000127,WA_Cantwell.jpg (https://dl.airtable.com/EmQR7LgASSaq8nD2LFL3_WA_Cantwell.jpg),
"WA Patty Murray, D",,WA,Patty Murray,Murray,Patty,D,2930 Wetmore Avenue,Ste. 9D,"Everett, Washington 98201",(425) 259-6515,154 Russell Senate Office Building,Washington,DC,20510,(202) 224-2621,http://www.murray.senate.gov/public/index.cfm/contactme,http://www.murray.senate.gov/,Class III,M001111,WA_Murray.jpg (https://dl.airtable.com/ZFt0mPSSz6FtHaPaSCYQ_WA_Murray.jpg),
"WI Tammy Baldwin, D",,WI,Tammy Baldwin,Baldwin,Tammy,D,402 Graham Street,Suite 206,"Eau Claire, WI 54701-2633",(715) 832-8424,717 Hart Senate Office Building,Washington,DC,20510,(202) 224-5653,https://www.baldwin.senate.gov/feedback,http://www.baldwin.senate.gov/,Class I,B001230,WI_Baldwin.jpg (https://dl.airtable.com/mxWhml4LQOGUroUYlshH_WI_Baldwin.jpg),
"WI Ron Johnson, R",,WI,Ron Johnson,Johnson,Ron,R,517 East Wisconsin Avenue,Suite 408,"Milwaukee, WI 53202",(414) 276-7282,328 Hart Senate Office Building,Washington,DC,20510,(202) 224-5323,https://www.ronjohnson.senate.gov/public/index.cfm/email-the-senator,http://www.ronjohnson.senate.gov/,Class III,J000293,WI_Johnson.jpg (https://dl.airtable.com/Zjzg0xeTIGLhWM1kc3qA_WI_Johnson.jpg),
"WV Shelley Moore Capito, R",,WV,Shelley Moore Capito,Capito,Shelley Moore,R,500 Virginia Street East,Suite 950,"Charleston, WV 25301",(304) 347-5372,172 Russell Senate Office Building,Washington,DC,20510,(202) 224-6472,https://www.capito.senate.gov/contact/contact-shelley,http://www.capito.senate.gov,Class II,C001047,WV_Capito.png (https://dl.airtable.com/V6FAzyoYRdmZVbjQBGi8_WV_Capito.png),
"WV Joe, III Manchin, D",,WV,"Joe, III Manchin",Manchin,"Joe, III",D,900 Pennsylvania Avenue,Suite 629,"Charleston, WV 25302",(304) 342-5855,306 Hart Senate Office Building,Washington,DC,20510,(202) 224-3954,http://www.manchin.senate.gov/public/index.cfm/contact-form,http://www.manchin.senate.gov/,Class I,M001183,WV_Manchin.jpg (https://dl.airtable.com/y62RzqBdTWWBZrzLU1Bt_WV_Manchin.jpg),
"WY John Barrasso, R",,WY,John Barrasso,Barrasso,John,R,100 East B Street,Suite 2201,"Casper, WY 82601",(307) 261-6413,307 Dirksen Senate Office Building,Washington,DC,20510,(202) 224-6441,https://www.barrasso.senate.gov/public/index.cfm/contact-form,http://www.barrasso.senate.gov,Class I,B001261,WY_Barrasso.jpg (https://dl.airtable.com/8geyOtUaRcS3kaafly6f_WY_Barrasso.jpg),
"WY Michael B. Enzi
, R",,WY,"Michael B. Enzi
","Enzi
",Michael B.,R,Dick Cheney Federal Building,"100 East B Street, Suite 3201","Casper, WY 82601",(307) 261-6572,379A Russell Senate Office Building,Washington,DC,20510,(202) 224-3424,http://www.enzi.senate.gov/public/index.cfm/contact?p=e-mail-senator-enzi,http://www.enzi.senate.gov,Class II,"E000285
",WY_Enzi.jpg (https://dl.airtable.com/avSEU2sqSFuGofxlRrFm_WY_Enzi.jpg),
