State,Member Full,Last Name,First Name,Party,District Office Address Line 1,District Address Line 2,District Address Line 3,District Tel #,DC Office Address,DC Tel #,Email,Website,Class,bioguide_id,Photo
SD,Rounds (R-SD),Rounds,Mike,R,"111 W Capitol Ave., Suite 210",P.O.Box 309,"Pierre, SD 57501",(605) 224-1450,502 Hart Senate Office Building,(202) 224-5842,https://www.rounds.senate.gov/contact/email-mike,http://www.rounds.senate.gov,Class II,R000605,SD_Rounds.jpg (https://dl.airtable.com/K9Sg92SFmskzmd42EwgQ_SD_Rounds.jpg)
SD,Thune (R-SD),Thune,John,R,246 Founders Park Drive,Suite 102,"Rapid City, SD 57701",(605) 348-7551,511 Dirksen Senate Office Building,(202) 224-2321,http://www.thune.senate.gov/public/index.cfm/contact,http://www.thune.senate.gov/,Class III,T000250,SD_Thune.jpg (https://dl.airtable.com/ZjmDCTrSfqSDIcUQHECQ_SD_Thune.jpg)
TN,Alexander (R-TN),Alexander,Lamar,R,"Joel E. Soloman Federal Building, 900 Georgia Avenue",#260,"Chattanooga, TN 37402",(423) 752-5337,455 Dirksen Senate Office Building,(202) 224-4944,http://www.alexander.senate.gov/public/index.cfm?p=Email,http://www.alexander.senate.gov/,Class II,A000360,TN_Alexander.jpg (https://dl.airtable.com/rsUFthlQOW2X8FILh5pJ_TN_Alexander.jpg)
TN,Corker (R-TN),Corker,Bob,R,100 Peabody Place,Suite 1125,"Memphis, TN 38103",(901) 683-1910,425 Dirksen Senate Office Building,(202) 224-3344,https://www.corker.senate.gov/public/index.cfm/emailme,http://www.corker.senate.gov/,Class I,C001071,TN_Corker.jpg (https://dl.airtable.com/afOcmTeQwGu9x2mEYaV7_TN_Corker.jpg)
TX,Cornyn (R-TX),Cornyn,John,R,5300 Memorial Drive,Suite 980,"Houston, TX 77007",(713) 572-3337,517 Hart Senate Office Building,(202) 224-2934,https://www.cornyn.senate.gov/contact,http://www.cornyn.senate.gov/,Class II,C001056,TX_Cornyn.jpg (https://dl.airtable.com/tOtqJwpSOxYaiwCxRgaQ_TX_Cornyn.jpg)
TX,Cruz (R-TX),Cruz,Ted,R,300 E 8th,Suite 961,"Austin, TX 78701",(512) 916-5834,404 Russell Senate Office Building,(202) 224-5922,http://www.cruz.senate.gov/?p=email_senator,http://www.cruz.senate.gov,Class I,C001098,TX_Cruz.jpg (https://dl.airtable.com/aWEmqjGRqOK8OHngNZai_TX_Cruz.jpg)
UT,Hatch (R-UT),Hatch,Orrin G.,R,77 N. Main Street,Suite 112,"Cedar City, UT 84720",(435) 586-8435,104 Hart Senate Office Building,(202) 224-5251,http://www.hatch.senate.gov/public/index.cfm/contact?p=Email-Orrin,http://www.hatch.senate.gov/,Class I,H000338,UT_Hatch.jpg (https://dl.airtable.com/PqSwysU0RDeaT6fUkQDo_UT_Hatch.jpg)
UT,Lee (R-UT),Lee,Mike,R,"James V. Hansen Federal Building, 324 25th Street",Suite 1410,"Ogden, Utah 84401",(801) 392-9633,361A Russell Senate Office Building,(202) 224-5444,https://www.lee.senate.gov/public/index.cfm/contact,http://www.lee.senate.gov/,Class III,L000577,UT_Lee.jpeg (https://dl.airtable.com/RXj4wfYQRtm8mpcB9yPA_UT_Lee.jpeg)
VA,Kaine (D-VA),Kaine,Tim,D,919 East Main Street,Suite 970,"Richmond, VA 23219",(804) 771-2221,231 Russell Senate Office Building,(202) 224-4024,https://www.kaine.senate.gov/contact,http://www.kaine.senate.gov/,Class I,K000384,VA_Kaine.jpg (https://dl.airtable.com/O5ciNnw9QxK1tqi8Dm91_VA_Kaine.jpg)
VA,Warner (D-VA),Warner,Mark R.,D,180 West Main Street,"Abingdon, VA 24210",,(276) 628-8158,475 Russell Senate Office Building,(202) 224-2023,http://www.warner.senate.gov/public/index.cfm?p=Contact,http://www.warner.senate.gov,Class II,W000805,VA_Warner.jpg (https://dl.airtable.com/x3yms1IxQiK7Va1Jbi2r_VA_Warner.jpg)
VT,Leahy (D-VT),Leahy,Patrick J.,D,199 Main Street,4th Floor,"Burlington, VT 05401",(802) 863-2525,437 Russell Senate Office Building,(202) 224-4242,https://www.leahy.senate.gov/contact/,http://www.leahy.senate.gov/,Class III,L000174,VT_Leahy.jpg (https://dl.airtable.com/EaIBLywKQiqhWDMnP7Sc_VT_Leahy.jpg)
VT,Sanders (I-VT),Sanders,Bernard,I,1 Church St,3rd Floor,"Burlington, VT 05401",(802) 862-0697,332 Dirksen Senate Office Building,(202) 224-5141,http://www.sanders.senate.gov/contact/,http://www.sanders.senate.gov/,Class I,S000033,VT_Sanders.jpg (https://dl.airtable.com/AfJdIheTr6Hmh9EVyRLg_VT_Sanders.jpg)
WA,Cantwell (D-WA),Cantwell,Maria,D,915 Second Avenue,Suite 3206,"Seattle, WA 98174",(206) 220-6400,511 Hart Senate Office Building,(202) 224-3441,http://www.cantwell.senate.gov/public/index.cfm/email-maria,http://www.cantwell.senate.gov,Class I,C000127,WA_Cantwell.jpg (https://dl.airtable.com/EmQR7LgASSaq8nD2LFL3_WA_Cantwell.jpg)
WA,Murray (D-WA),Murray,Patty,D,2930 Wetmore Avenue,Ste. 9D,"Everett, Washington 98201",(425) 259-6515,154 Russell Senate Office Building,(202) 224-2621,http://www.murray.senate.gov/public/index.cfm/contactme,http://www.murray.senate.gov/,Class III,M001111,WA_Murray.jpg (https://dl.airtable.com/ZFt0mPSSz6FtHaPaSCYQ_WA_Murray.jpg)
WI,Baldwin (D-WI),Baldwin,Tammy,D,402 Graham Street,Suite 206,"Eau Claire, WI 54701-2633",(715) 832-8424,717 Hart Senate Office Building,(202) 224-5653,https://www.baldwin.senate.gov/feedback,http://www.baldwin.senate.gov/,Class I,B001230,WI_Baldwin.jpg (https://dl.airtable.com/mxWhml4LQOGUroUYlshH_WI_Baldwin.jpg)
WI,Johnson (R-WI),Johnson,Ron,R,517 East Wisconsin Avenue,Suite 408,"Milwaukee, WI 53202",(414) 276-7282,328 Hart Senate Office Building,(202) 224-5323,https://www.ronjohnson.senate.gov/public/index.cfm/email-the-senator,http://www.ronjohnson.senate.gov/,Class III,J000293,WI_Johnson.jpg (https://dl.airtable.com/Zjzg0xeTIGLhWM1kc3qA_WI_Johnson.jpg)
WV,Capito (R-WV),Capito,Shelley Moore,R,500 Virginia Street East,Suite 950,"Charleston, WV 25301",(304) 347-5372,172 Russell Senate Office Building,(202) 224-6472,https://www.capito.senate.gov/contact/contact-shelley,http://www.capito.senate.gov,Class II,C001047,WV_Capito.png (https://dl.airtable.com/V6FAzyoYRdmZVbjQBGi8_WV_Capito.png)
WV,Manchin (D-WV),Manchin,"Joe, III",D,900 Pennsylvania Avenue,Suite 629,"Charleston, WV 25302",(304) 342-5855,306 Hart Senate Office Building,(202) 224-3954,http://www.manchin.senate.gov/public/index.cfm/contact-form,http://www.manchin.senate.gov/,Class I,M001183,WV_Manchin.jpg (https://dl.airtable.com/y62RzqBdTWWBZrzLU1Bt_WV_Manchin.jpg)
WY,Barrasso (R-WY),Barrasso,John,R,100 East B Street,Suite 2201,"Casper, WY 82601",(307) 261-6413,307 Dirksen Senate Office Building,(202) 224-6441,https://www.barrasso.senate.gov/public/index.cfm/contact-form,http://www.barrasso.senate.gov,Class I,B001261,WY_Barrasso.jpg (https://dl.airtable.com/8geyOtUaRcS3kaafly6f_WY_Barrasso.jpg)
WY,Enzi (R-WY),"Enzi
",Michael B.,R,Dick Cheney Federal Building,"100 East B Street, Suite 3201","Casper, WY 82601",(307) 261-6572,379A Russell Senate Office Building,(202) 224-3424,http://www.enzi.senate.gov/public/index.cfm/contact?p=e-mail-senator-enzi,http://www.enzi.senate.gov,Class II,"E000285
",WY_Enzi.jpg (https://dl.airtable.com/avSEU2sqSFuGofxlRrFm_WY_Enzi.jpg)
